rank,trial,umap_n_neighbors,umap_n_components,umap_min_dist,hdbscan_min_cluster,hdbscan_min_samples,n_topics,coherence_cv,silhouette,diversity,stability,outlier_rate
1,4,33,4,0.0292,43,5,73,0.7993,0.2742,0.8521,0.9488,0.243
2,2,5,15,0.0832,29,2,176,0.7958,0.1886,0.7307,0.9279,0.2974
3,12,26,11,0.0287,36,7,91,0.7944,0.3044,0.8319,0.9256,0.2761
4,9,35,7,0.052,59,2,59,0.7918,0.3602,0.8492,0.9397,0.2484
5,13,7,12,0.066,29,4,157,0.7868,0.2148,0.7599,0.9594,0.2717
6,3,13,6,0.0525,49,3,66,0.7849,0.3076,0.853,,0.2143
7,10,49,12,0.0291,11,6,245,0.7826,0.4143,0.7531,,0.4188
8,11,22,15,0.0969,28,5,113,0.7812,0.4706,0.7956,,0.325
9,14,19,9,0.0296,14,9,242,0.781,0.3739,0.7508,,0.3475
10,5,41,5,0.0514,63,1,53,0.7779,0.3331,0.8679,,0.2051
11,7,42,6,0.0098,72,5,43,0.7762,0.3531,0.8651,,0.2347
12,6,32,5,0.0065,96,10,33,0.7645,0.3541,0.8818,,0.2386
13,0,22,15,0.0732,64,2,44,0.7611,0.3431,0.8818,,0.2341
14,8,10,9,0.0034,92,3,42,0.7584,0.2064,0.8738,,0.2088
15,1,12,3,0.0866,64,8,50,0.7577,0.3672,0.846,,0.2473
